name,term,freq,prediction_length,domain,trend,seasonal_strength,entropy,hurst,stability,lumpiness,pred_crps
era5_1998,medium,H,480,Climate,0.6770571,0.6763625,0.43251953,0.65876096,0.38186103,0.30808526,0.2303591
era5_1998,long,H,720,Climate,0.6770571,0.6763625,0.43251953,0.65876096,0.38186103,0.30808526,0.2303591
era5_1992,short,H,48,Climate,0.6770571,0.64366764,0.39426395,0.65876096,0.38186103,0.30808526,0.2161334
era5_1992,medium,H,480,Climate,0.6770571,0.6763625,0.43251953,0.65876096,0.38186103,0.30808526,0.2303591
era5_1992,long,H,720,Climate,0.6770571,0.6763625,0.43251953,0.65876096,0.38186103,0.30808526,0.2303591
favorita_sales,short,D,30,Sales,0.6781791,0.34920278,0.52196395,0.70387816,0.46334228,1.149947,0.5468949
favorita_sales,medium,D,300,Sales,0.814884,0.31185076,0.4545836,0.62738603,0.56315064,0.39197034,0.2733031
favorita_sales,long,D,450,Sales,0.814884,0.31185076,0.4545836,0.62738603,0.56315064,0.39197034,0.2733031
cmip6_1965,short,6H,48,Climate,0.7719097,0.5692952,0.39426395,0.9422791,0.38186103,0.30808526,0.112148166
cmip6_1965,medium,6H,480,Climate,0.7719097,0.6019901,0.43251953,0.9422791,0.38186103,0.30808526,0.112148166
cmip6_1965,long,6H,720,Climate,0.7719097,0.6019901,0.43251953,0.9422791,0.38186103,0.30808526,0.112148166
hog,short,H,48,Energy,0.7828788,0.64366764,0.42148492,0.8775636,0.56124514,0.8611128,0.112148166
hog,medium,H,480,Energy,0.7873413,0.6763625,0.38473052,0.856679,0.56124514,0.50420505,0.112148166
hog,long,H,720,Energy,0.7873413,0.6763625,0.38473052,0.8640375,0.56124514,0.42473942,0.112148166
era5_2005,short,H,48,Climate,0.6770571,0.64366764,0.39426395,0.65876096,0.38186103,0.30808526,0.2161334
era5_2005,medium,H,480,Climate,0.6770571,0.6763625,0.43251953,0.65876096,0.38186103,0.30808526,0.2303591
era5_2005,long,H,720,Climate,0.6770571,0.6763625,0.43251953,0.65876096,0.38186103,0.30808526,0.2303591
cmip6_1850,short,6H,48,Climate,0.7719097,0.5692952,0.39426395,0.9422791,0.38186103,0.30808526,0.112148166
cmip6_1850,medium,6H,480,Climate,0.7719097,0.6019901,0.43251953,0.9422791,0.38186103,0.30808526,0.112148166
cmip6_1850,long,6H,720,Climate,0.7719097,0.6019901,0.43251953,0.9422791,0.38186103,0.30808526,0.112148166
pems03,short,5T,48,Transport,0.47829548,0.4515761,0.5220687,0.7501785,0.404455,1.2020383,0.5468949
pems03,medium,5T,480,Transport,0.8399173,0.4509209,0.34391308,0.9300689,0.5163347,0.44406113,0.112148166
pems03,long,5T,720,Transport,0.77746755,0.45257,0.34391308,0.816425,0.50986934,1.3671979,0.5468949
cmip6_1920,short,6H,48,Climate,0.7719097,0.5692952,0.39426395,0.9422791,0.38186103,0.30808526,0.112148166
cmip6_1920,medium,6H,480,Climate,0.7719097,0.6019901,0.43251953,0.9422791,0.38186103,0.30808526,0.112148166
cmip6_1920,long,6H,720,Climate,0.7719097,0.6019901,0.43251953,0.9422791,0.38186103,0.30808526,0.112148166
covid19_energy,short,H,48,Transport,0.6787313,0.33035883,0.52196395,0.785245,0.46334228,1.1084806,0.33259353
covid19_energy,medium,H,480,Transport,0.81543624,0.2930068,0.45359188,0.62888634,0.56315064,0.35050374,0.19633982
covid19_energy,long,H,720,Transport,0.7588603,0.2930068,0.45359188,0.60587645,0.56315064,0.42938274,0.2733031
los_loop,short,5T,48,Transport,0.47829548,0.4515761,0.5220687,0.7501785,0.404455,1.2020383,0.5468949
los_loop,medium,5T,480,Transport,0.8399173,0.4509209,0.34391308,0.9300689,0.5163347,0.44406113,0.112148166
los_loop,long,5T,720,Transport,0.77746755,0.45257,0.34391308,0.816425,0.50986934,1.3671979,0.5468949
cmip6_1895,short,6H,48,Climate,0.7719097,0.5692952,0.39426395,0.9422791,0.38186103,0.30808526,0.112148166
cmip6_1895,medium,6H,480,Climate,0.7719097,0.6019901,0.43251953,0.9422791,0.38186103,0.30808526,0.112148166
cmip6_1895,long,6H,720,Climate,0.7719097,0.6019901,0.43251953,0.9422791,0.38186103,0.30808526,0.112148166
tourism_quarterly,short,Q,8,Econ/Fin,0.82754743,0.46762374,0.5251642,0.85888976,0.6851683,0.305393,0.13303609
tourism_quarterly,medium,Q,80,Econ/Fin,0.7140104,0.6216385,0.4151099,0.93354195,0.42546162,0.305393,0.11809376
tourism_quarterly,long,Q,120,Econ/Fin,0.7140104,0.6216385,0.4151099,0.93354195,0.42546162,0.305393,0.11809376
extended_web_traffic_with_missing,short,D,30,Web,0.6781791,0.34920278,0.52196395,0.70387816,0.46334228,1.149947,0.5468949
extended_web_traffic_with_missing,medium,D,300,Web,0.814884,0.31185076,0.4545836,0.62738603,0.56315064,0.39197034,0.2733031
extended_web_traffic_with_missing,long,D,450,Web,0.814884,0.31185076,0.4545836,0.62738603,0.56315064,0.39197034,0.2733031
subseasonal_precip,short,D,30,Climate,0.7719097,0.5692952,0.39426395,0.9422791,0.38186103,0.30808526,0.112148166
subseasonal_precip,medium,D,300,Climate,0.7719097,0.6019901,0.43251953,0.9422791,0.38186103,0.30808526,0.112148166
subseasonal_precip,long,D,450,Climate,0.7719097,0.6019901,0.43251953,0.9422791,0.38186103,0.30808526,0.112148166
cmip6_2005,short,6H,48,Climate,0.7719097,0.5692952,0.39426395,0.9422791,0.38186103,0.30808526,0.112148166
cmip6_2005,medium,6H,480,Climate,0.7719097,0.6019901,0.43251953,0.9422791,0.38186103,0.30808526,0.112148166
cmip6_2005,long,6H,720,Climate,0.7719097,0.6019901,0.43251953,0.9422791,0.38186103,0.30808526,0.112148166
era5_2016,short,H,48,Climate,0.6770571,0.64366764,0.39426395,0.65876096,0.38186103,0.30808526,0.2161334
era5_2016,medium,H,480,Climate,0.6770571,0.6763625,0.43251953,0.65876096,0.38186103,0.30808526,0.2303591
era5_2016,long,H,720,Climate,0.6770571,0.6763625,0.43251953,0.65876096,0.38186103,0.30808526,0.2303591
azure_vm_traces_2017,short,5T,48,CloudOps,0.63653123,0.25985458,0.51645976,0.7403713,0.3790222,0.6063648,0.32845262
azure_vm_traces_2017,medium,5T,480,CloudOps,0.67684007,0.19990005,0.43681845,0.72667664,0.391093,0.51744455,0.33259353
azure_vm_traces_2017,long,5T,720,CloudOps,0.6692878,0.20028655,0.43681845,0.735924,0.38462755,0.51744455,0.33259353
taxi_30min,short,30T,48,Transport,0.6787313,0.33035883,0.52196395,0.785245,0.46334228,1.1084806,0.33259353
taxi_30min,medium,30T,480,Transport,0.81543624,0.2930068,0.45359188,0.62888634,0.56315064,0.35050374,0.19633982
taxi_30min,long,30T,720,Transport,0.7588603,0.2930068,0.45359188,0.60587645,0.56315064,0.42938274,0.2733031
favorita_transactions,short,D,30,Sales,0.6781791,0.34920278,0.52196395,0.70387816,0.46334228,1.149947,0.5468949
favorita_transactions,medium,D,300,Sales,0.814884,0.31185076,0.4545836,0.62738603,0.56315064,0.39197034,0.2733031
favorita_transactions,long,D,450,Sales,0.814884,0.31185076,0.4545836,0.62738603,0.56315064,0.39197034,0.2733031
smart,short,H,48,Energy,0.7828788,0.64366764,0.42148492,0.8775636,0.56124514,0.8611128,0.112148166
smart,medium,H,480,Energy,0.7873413,0.6763625,0.38473052,0.856679,0.56124514,0.50420505,0.112148166
smart,long,H,720,Energy,0.7873413,0.6763625,0.38473052,0.8640375,0.56124514,0.42473942,0.112148166
kdd2022,short,10T,48,Energy,0.7638464,0.2620416,0.41498497,0.88995534,0.5655249,0.86237043,0.11267476
kdd2022,medium,10T,480,Energy,0.77484846,0.19646436,0.39896852,0.8690708,0.567379,0.6377655,0.11267476
kdd2022,long,10T,720,Energy,0.7672962,0.19811344,0.39896852,0.87269187,0.5609136,1.2702545,0.14655176
gfc17_load,short,H,48,Energy,0.7828788,0.64366764,0.42148492,0.8775636,0.56124514,0.8611128,0.112148166
gfc17_load,medium,H,480,Energy,0.7873413,0.6763625,0.38473052,0.856679,0.56124514,0.50420505,0.112148166
gfc17_load,long,H,720,Energy,0.7873413,0.6763625,0.38473052,0.8640375,0.56124514,0.42473942,0.112148166
cif_2016_12,short,M,12,Econ/Fin,0.71290016,0.5665225,0.5251642,0.9079405,0.44009712,0.305393,0.13898171
cif_2016_12,medium,M,120,Econ/Fin,0.7140104,0.6216385,0.4151099,0.93354195,0.42546162,0.305393,0.11809376
cif_2016_12,long,M,180,Econ/Fin,0.7140104,0.6216385,0.4151099,0.93354195,0.42546162,0.305393,0.11809376
era5_2011,short,H,48,Climate,0.6770571,0.64366764,0.39426395,0.65876096,0.38186103,0.30808526,0.2161334
era5_2011,medium,H,480,Climate,0.6770571,0.6763625,0.43251953,0.65876096,0.38186103,0.30808526,0.2303591
era5_2011,long,H,720,Climate,0.6770571,0.6763625,0.43251953,0.65876096,0.38186103,0.30808526,0.2303591
borealis,short,H,48,Energy,0.7828788,0.64366764,0.42148492,0.8775636,0.56124514,0.8611128,0.112148166
borealis,medium,H,480,Energy,0.7873413,0.6763625,0.38473052,0.856679,0.56124514,0.50420505,0.112148166
borealis,long,H,720,Energy,0.7873413,0.6763625,0.38473052,0.8640375,0.56124514,0.42473942,0.112148166
godaddy,short,MS,12,Econ/Fin,0.80007786,0.23947196,0.5333081,0.88995534,0.644888,0.6063648,0.1335627
godaddy,medium,MS,120,Econ/Fin,0.8383012,0.18288171,0.39978474,0.8690708,0.644888,0.51744455,0.11267476
godaddy,long,MS,180,Econ/Fin,0.8383012,0.18288171,0.39978474,0.8690708,0.644888,0.51744455,0.11267476
cmip6_1995,short,6H,48,Climate,0.7719097,0.5692952,0.39426395,0.9422791,0.38186103,0.30808526,0.112148166
cmip6_1995,medium,6H,480,Climate,0.7719097,0.6019901,0.43251953,0.9422791,0.38186103,0.30808526,0.112148166
cmip6_1995,long,6H,720,Climate,0.7719097,0.6019901,0.43251953,0.9422791,0.38186103,0.30808526,0.112148166
vehicle_trips_with_missing,short,D,30,Transport,0.6781791,0.34920278,0.52196395,0.70387816,0.46334228,1.149947,0.5468949
vehicle_trips_with_missing,medium,D,300,Transport,0.814884,0.31185076,0.4545836,0.62738603,0.56315064,0.39197034,0.2733031
vehicle_trips_with_missing,long,D,450,Transport,0.814884,0.31185076,0.4545836,0.62738603,0.56315064,0.39197034,0.2733031
nn5_weekly,short,W,8,Econ/Fin,0.8745383,0.36703238,0.49987674,0.85888976,0.6851683,0.305393,0.11267476
nn5_weekly,medium,W,80,Econ/Fin,0.8183025,0.6216385,0.39359605,0.93354195,0.55723923,0.305393,0.112148166
nn5_weekly,long,W,120,Econ/Fin,0.8183025,0.6216385,0.39359605,0.93354195,0.55723923,0.305393,0.112148166
era5_2002,short,H,48,Climate,0.6770571,0.64366764,0.39426395,0.65876096,0.38186103,0.30808526,0.2161334
era5_2002,medium,H,480,Climate,0.6770571,0.6763625,0.43251953,0.65876096,0.38186103,0.30808526,0.2303591
era5_2002,long,H,720,Climate,0.6770571,0.6763625,0.43251953,0.65876096,0.38186103,0.30808526,0.2303591
pedestrian_counts,short,H,48,Transport,0.6787313,0.33035883,0.52196395,0.785245,0.46334228,1.1084806,0.33259353
pedestrian_counts,medium,H,480,Transport,0.81543624,0.2930068,0.45359188,0.62888634,0.56315064,0.35050374,0.19633982
pedestrian_counts,long,H,720,Transport,0.7588603,0.2930068,0.45359188,0.60587645,0.56315064,0.42938274,0.2733031
era5_2008,short,H,48,Climate,0.6770571,0.64366764,0.39426395,0.65876096,0.38186103,0.30808526,0.2161334
era5_2008,medium,H,480,Climate,0.6770571,0.6763625,0.43251953,0.65876096,0.38186103,0.30808526,0.2303591
era5_2008,long,H,720,Climate,0.6770571,0.6763625,0.43251953,0.65876096,0.38186103,0.30808526,0.2303591
pems04,short,5T,48,Transport,0.47829548,0.4515761,0.5220687,0.7501785,0.404455,1.2020383,0.5468949
pems04,medium,5T,480,Transport,0.8399173,0.4509209,0.34391308,0.9300689,0.5163347,0.44406113,0.112148166
